,plotID,longitude,latitude,collectYear,collectDOY,soil_pH,soil_moisture,temp_celsius,precip_mm,temp_seasonality,precip_seasonality,fungal_diversity,domain,site,collectDate,shannon_diversity
0,HARV_037,-72.179312,42.537308,2016,69,2.53,2.7310000000000003,7.4393939389999995,1133.166667,93.01757576,7.401515152000001,13,Northeast,HARV,2016-03-09,1.6661353328826405
1,BLAN_002,-77.980761,39.092296000000005,2015,313,5.05,0.23600000000000002,11.63466667,990.8266667000001,85.45306667,14.34666667,3,Mid Atlantic,BLAN,2015-11-09,0.4459932928874901
2,BLAN_033,-78.069151,39.058229,2015,314,5.55,0.245,11.63466667,990.8266667000001,85.45306667,14.34666667,4,Mid Atlantic,BLAN,2015-11-10,0.5549574536336104
3,BLAN_032,-78.073305,39.058572,2015,314,5.42,0.348,11.63466667,990.8266667000001,85.45306667,14.34666667,4,Mid Atlantic,BLAN,2015-11-10,0.8398712168948983
4,SCBI_067,-78.135536,38.893949,2015,316,6.38,0.426,11.22938144,1015.396907,84.24376289,15.0,3,Mid Atlantic,SCBI,2015-11-12,0.6894479821850444
5,SCBI_002,-78.142701,38.895212,2015,316,5.93,0.565,11.22938144,1015.396907,84.24376289,15.0,4,Mid Atlantic,SCBI,2015-11-12,1.0753647153920198
6,SCBI_003,-78.12037099999999,38.883308,2015,317,6.01,0.527,11.22938144,1015.396907,84.24376289,15.0,12,Mid Atlantic,SCBI,2015-11-13,1.76832111994361
7,SCBI_003,-78.12037099999999,38.883308,2015,317,5.58,0.40399999999999997,11.22938144,1015.396907,84.24376289,15.0,11,Mid Atlantic,SCBI,2015-11-13,0.49719556693110656
8,SCBI_004,-78.146458,38.896938,2015,317,4.43,0.311,11.22938144,1015.396907,84.24376289,15.0,10,Mid Atlantic,SCBI,2015-11-13,1.855823991851536
9,SCBI_004,-78.146458,38.896938,2015,317,5.12,0.32899999999999996,11.22938144,1015.396907,84.24376289,15.0,18,Mid Atlantic,SCBI,2015-11-13,2.284830015016479
10,SCBI_006,-78.152007,38.897609,2015,317,5.09,0.32799999999999996,11.22938144,1015.396907,84.24376289,15.0,7,Mid Atlantic,SCBI,2015-11-13,1.1599642806878359
11,SERC_045,-76.55872,38.880982,2015,83,,,13.1,1072.0,84.41,13.0,8,Mid Atlantic,SERC,2015-03-24,0.9692103871997741
12,SERC_045,-76.55872,38.880982,2015,83,,,13.1,1072.0,84.41,13.0,8,Mid Atlantic,SERC,2015-03-24,0.7538286155681914
13,SERC_045,-76.55872,38.880982,2015,83,,,13.1,1072.0,84.41,13.0,5,Mid Atlantic,SERC,2015-03-24,0.8502275624488868
14,SERC_002,-76.55891700000001,38.895036,2015,83,,,13.1,1072.0,84.41,13.0,9,Mid Atlantic,SERC,2015-03-24,0.6532799555491222
15,SERC_002,-76.55891700000001,38.895036,2015,83,,,13.1,1072.0,84.41,13.0,4,Mid Atlantic,SERC,2015-03-24,0.19085977323352968
16,SERC_044,-76.553986,38.890803000000005,2015,84,,,13.1,1072.0,84.41,13.0,13,Mid Atlantic,SERC,2015-03-25,1.5355897800815852
17,SERC_047,-76.560193,38.885634,2015,84,,,13.1,1072.0,84.41,13.0,11,Mid Atlantic,SERC,2015-03-25,1.2124561741760804
18,SERC_047,-76.560193,38.885634,2015,84,,,13.1,1072.0,84.41,13.0,10,Mid Atlantic,SERC,2015-03-25,1.80932025234073
19,SERC_047,-76.560193,38.885634,2015,84,,,13.1,1072.0,84.41,13.0,10,Mid Atlantic,SERC,2015-03-25,0.8423224311897901
20,SERC_001,-76.533585,38.868693,2015,84,,,13.1,1072.0,84.41,13.0,3,Mid Atlantic,SERC,2015-03-25,1.0787758481487262
21,SERC_001,-76.533585,38.868693,2015,84,,,13.1,1072.0,84.41,13.0,8,Mid Atlantic,SERC,2015-03-25,1.0783209066007553
22,SERC_001,-76.533585,38.868693,2015,84,,,13.1,1072.0,84.41,13.0,3,Mid Atlantic,SERC,2015-03-25,0.7869202267358172
23,SERC_001,-76.533585,38.868693,2015,320,4.81,0.5529999999999999,13.1,1072.0,84.41,13.0,2,Mid Atlantic,SERC,2015-11-16,0.39886606560601146
24,SERC_001,-76.533585,38.868693,2015,320,4.7,0.629,13.1,1072.0,84.41,13.0,3,Mid Atlantic,SERC,2015-11-16,0.7198936453892052
25,SERC_045,-76.55872,38.880982,2015,320,5.13,0.524,13.1,1072.0,84.41,13.0,13,Mid Atlantic,SERC,2015-11-16,1.039842014848821
26,SERC_045,-76.55872,38.880982,2015,320,4.22,0.34700000000000003,13.1,1072.0,84.41,13.0,14,Mid Atlantic,SERC,2015-11-16,1.2997510912976025
27,SERC_045,-76.55872,38.880982,2015,320,4.16,0.434,13.1,1072.0,84.41,13.0,11,Mid Atlantic,SERC,2015-11-16,0.7218906454174251
